Cause,Type,Year,Total Deaths,Source
AIDS,Bencana Non Alam dan Penyakit,2019,614,Profil Kesehatan Indonesia Tahun 2019
AIDS,Bencana Non Alam dan Penyakit,2020,665,Profil Kesehatan Indonesia Tahun 2020
AIDS,Bencana Non Alam dan Penyakit,2021,688,Profil Kesehatan Indonesia Tahun 2021
Aksi Teror dan Sabotase,Bencana Sosial,2015,0,Profil Kesehatan Indonesia Tahun 2015
Aksi Teror dan Sabotase,Bencana Sosial,2016,13,Profil Kesehatan Indonesia Tahun 2016
Aksi Teror dan Sabotase,Bencana Sosial,2017,0,Profil Kesehatan Indonesia Tahun 2017
Aksi Teror dan Sabotase,Bencana Sosial,2018,18,Profil Kesehatan Indonesia Tahun 2018
Aksi Teror dan Sabotase,Bencana Sosial,2019,3,Profil Kesehatan Indonesia Tahun 2019
Aksi Teror dan Sabotase,Bencana Sosial,2020,4,Profil Kesehatan Indonesia Tahun 2020
Aksi Teror dan Sabotase,Bencana Sosial,2021,4,Profil Kesehatan Indonesia Tahun 2021
Angin kencang,Bencana Alam,2008,3,Profil Kesehatan Indonesia Tahun 2008
Angin Puting Beliung,Bencana Alam,2008,13,Profil Kesehatan Indonesia Tahun 2008
Angin Puting Beliung,Bencana Alam,2015,37,Profil Kesehatan Indonesia Tahun 2015
Angin Puting Beliung,Bencana Alam,2016,20,Profil Kesehatan Indonesia Tahun 2016
Angin Puting Beliung,Bencana Alam,2017,0,Profil Kesehatan Indonesia Tahun 2017
Angin Puting Beliung,Bencana Alam,2018,10,Profil Kesehatan Indonesia Tahun 2018
Angin Puting Beliung,Bencana Alam,2019,4,Profil Kesehatan Indonesia Tahun 2019
Angin Puting Beliung,Bencana Alam,2020,12,Profil Kesehatan Indonesia Tahun 2020
Angin Puting Beliung,Bencana Alam,2021,4,Profil Kesehatan Indonesia Tahun 2021
Angin Siklon Tropis,Bencana Alam,2010,10,Profil Kesehatan Indonesia Tahun 2010
Angin Siklon Tropis,Bencana Alam,2011,4,Profil Kesehatan Indonesia Tahun 2011
Angin Siklon Tropis,Bencana Alam,2012,23,Profil Kesehatan Indonesia Tahun 2012
Angin siklon tropis (angin kencang dan angin puting beliung),Bencana Alam,2009,4,Profil Kesehatan Indonesia Tahun 2009
Angin Topan,Bencana Alam,2005,0,Profil Kesehatan Indonesia Tahun 2005
Angin Topan / Angin Puting Beliung / Angin Puyuh,Bencana Alam,2006,9,Profil Kesehatan Indonesia Tahun 2006
Angin Topan / Angin Puting Beliung / Angin Puyuh,Bencana Alam,2007,10,Profil Kesehatan Indonesia Tahun 2007
Antraks,Bencana Non Alam dan Penyakit,2000,0,Profil Kesehatan Indonesia Tahun 2004
Antraks,Bencana Non Alam dan Penyakit,2001,2,Profil Kesehatan Indonesia Tahun 2004
Antraks,Bencana Non Alam dan Penyakit,2002,8,Profil Kesehatan Indonesia Tahun 2004
Antraks,Bencana Non Alam dan Penyakit,2002,8,Profil Kesehatan Indonesia Tahun 2008
Antraks,Bencana Non Alam dan Penyakit,2003,2,Profil Kesehatan Indonesia Tahun 2004
Antraks,Bencana Non Alam dan Penyakit,2003,2,Profil Kesehatan Indonesia Tahun 2008
Antraks,Bencana Non Alam dan Penyakit,2004,8,Profil Kesehatan Indonesia Tahun 2004
Antraks,Bencana Non Alam dan Penyakit,2004,8,Profil Kesehatan Indonesia Tahun 2008
Antraks,Bencana Non Alam dan Penyakit,2005,1,Profil Kesehatan Indonesia Tahun 2008
Antraks,Bencana Non Alam dan Penyakit,2005,1,Profil Kesehatan Indonesia Tahun 2010
Antraks,Bencana Non Alam dan Penyakit,2006,1,Profil Kesehatan Indonesia Tahun 2006
Antraks,Bencana Non Alam dan Penyakit,2006,1,Profil Kesehatan Indonesia Tahun 2008
Antraks,Bencana Non Alam dan Penyakit,2006,1,Profil Kesehatan Indonesia Tahun 2010
Antraks,Bencana Non Alam dan Penyakit,2007,5,Profil Kesehatan Indonesia Tahun 2007
Antraks,Bencana Non Alam dan Penyakit,2007,5,Profil Kesehatan Indonesia Tahun 2008
Antraks,Bencana Non Alam dan Penyakit,2007,5,Profil Kesehatan Indonesia Tahun 2010
Antraks,Bencana Non Alam dan Penyakit,2008,0,Profil Kesehatan Indonesia Tahun 2008
Antraks,Bencana Non Alam dan Penyakit,2008,0,Profil Kesehatan Indonesia Tahun 2010
Antraks,Bencana Non Alam dan Penyakit,2008,0,Profil Kesehatan Indonesia Tahun 2013
Antraks,Bencana Non Alam dan Penyakit,2008,0,Profil Kesehatan Indonesia Tahun 2014
Antraks,Bencana Non Alam dan Penyakit,2008,0,Profil Kesehatan Indonesia Tahun 2015
Antraks,Bencana Non Alam dan Penyakit,2009,2,Profil Kesehatan Indonesia Tahun 2009
Antraks,Bencana Non Alam dan Penyakit,2009,2,Profil Kesehatan Indonesia Tahun 2010
Antraks,Bencana Non Alam dan Penyakit,2009,2,Profil Kesehatan Indonesia Tahun 2011
Antraks,Bencana Non Alam dan Penyakit,2009,2,Profil Kesehatan Indonesia Tahun 2013
Antraks,Bencana Non Alam dan Penyakit,2009,2,Profil Kesehatan Indonesia Tahun 2014
Antraks,Bencana Non Alam dan Penyakit,2009,2,Profil Kesehatan Indonesia Tahun 2015
Antraks,Bencana Non Alam dan Penyakit,2009,2,Profil Kesehatan Indonesia Tahun 2016
Antraks,Bencana Non Alam dan Penyakit,2010,1,Profil Kesehatan Indonesia Tahun 2010
Antraks,Bencana Non Alam dan Penyakit,2010,1,Profil Kesehatan Indonesia Tahun 2011
Antraks,Bencana Non Alam dan Penyakit,2010,1,Profil Kesehatan Indonesia Tahun 2012
Antraks,Bencana Non Alam dan Penyakit,2010,1,Profil Kesehatan Indonesia Tahun 2013
Antraks,Bencana Non Alam dan Penyakit,2010,1,Profil Kesehatan Indonesia Tahun 2014
Antraks,Bencana Non Alam dan Penyakit,2010,1,Profil Kesehatan Indonesia Tahun 2015
Antraks,Bencana Non Alam dan Penyakit,2010,1,Profil Kesehatan Indonesia Tahun 2016
Antraks,Bencana Non Alam dan Penyakit,2011,0,Profil Kesehatan Indonesia Tahun 2011
Antraks,Bencana Non Alam dan Penyakit,2011,0,Profil Kesehatan Indonesia Tahun 2012
Antraks,Bencana Non Alam dan Penyakit,2011,1,Profil Kesehatan Indonesia Tahun 2013
Antraks,Bencana Non Alam dan Penyakit,2011,1,Profil Kesehatan Indonesia Tahun 2013
Antraks,Bencana Non Alam dan Penyakit,2011,1,Profil Kesehatan Indonesia Tahun 2014
Antraks,Bencana Non Alam dan Penyakit,2011,0,Profil Kesehatan Indonesia Tahun 2015
Antraks,Bencana Non Alam dan Penyakit,2011,0,Profil Kesehatan Indonesia Tahun 2016
Antraks,Bencana Non Alam dan Penyakit,2011,0,Profil Kesehatan Indonesia Tahun 2017
Antraks,Bencana Non Alam dan Penyakit,2011,0,Profil Kesehatan Indonesia Tahun 2018
Antraks,Bencana Non Alam dan Penyakit,2012,0,Profil Kesehatan Indonesia Tahun 2012
Antraks,Bencana Non Alam dan Penyakit,2012,0,Profil Kesehatan Indonesia Tahun 2013
Antraks,Bencana Non Alam dan Penyakit,2012,0,Profil Kesehatan Indonesia Tahun 2013
Antraks,Bencana Non Alam dan Penyakit,2012,0,Profil Kesehatan Indonesia Tahun 2014
Antraks,Bencana Non Alam dan Penyakit,2012,0,Profil Kesehatan Indonesia Tahun 2015
Antraks,Bencana Non Alam dan Penyakit,2012,0,Profil Kesehatan Indonesia Tahun 2016
Antraks,Bencana Non Alam dan Penyakit,2012,0,Profil Kesehatan Indonesia Tahun 2017
Antraks,Bencana Non Alam dan Penyakit,2012,0,Profil Kesehatan Indonesia Tahun 2018
Antraks,Bencana Non Alam dan Penyakit,2013,1,Profil Kesehatan Indonesia Tahun 2013
Antraks,Bencana Non Alam dan Penyakit,2013,1,Profil Kesehatan Indonesia Tahun 2013
Antraks,Bencana Non Alam dan Penyakit,2013,1,Profil Kesehatan Indonesia Tahun 2014
Antraks,Bencana Non Alam dan Penyakit,2013,1,Profil Kesehatan Indonesia Tahun 2015
Antraks,Bencana Non Alam dan Penyakit,2013,1,Profil Kesehatan Indonesia Tahun 2016
Antraks,Bencana Non Alam dan Penyakit,2013,1,Profil Kesehatan Indonesia Tahun 2017
Antraks,Bencana Non Alam dan Penyakit,2013,1,Profil Kesehatan Indonesia Tahun 2018
Antraks,Bencana Non Alam dan Penyakit,2014,0,Profil Kesehatan Indonesia Tahun 2014
Antraks,Bencana Non Alam dan Penyakit,2014,3,Profil Kesehatan Indonesia Tahun 2015
Antraks,Bencana Non Alam dan Penyakit,2014,3,Profil Kesehatan Indonesia Tahun 2016
Antraks,Bencana Non Alam dan Penyakit,2014,3,Profil Kesehatan Indonesia Tahun 2017
Antraks,Bencana Non Alam dan Penyakit,2014,3,Profil Kesehatan Indonesia Tahun 2018
Antraks,Bencana Non Alam dan Penyakit,2015,0,Profil Kesehatan Indonesia Tahun 2015
Antraks,Bencana Non Alam dan Penyakit,2015,0,Profil Kesehatan Indonesia Tahun 2016
Antraks,Bencana Non Alam dan Penyakit,2015,0,Profil Kesehatan Indonesia Tahun 2017
Antraks,Bencana Non Alam dan Penyakit,2015,0,Profil Kesehatan Indonesia Tahun 2018
Antraks,Bencana Non Alam dan Penyakit,2016,0,Profil Kesehatan Indonesia Tahun 2016
Antraks,Bencana Non Alam dan Penyakit,2016,0,Profil Kesehatan Indonesia Tahun 2017
Antraks,Bencana Non Alam dan Penyakit,2016,0,Profil Kesehatan Indonesia Tahun 2018
Antraks,Bencana Non Alam dan Penyakit,2017,1,Profil Kesehatan Indonesia Tahun 2017
Antraks,Bencana Non Alam dan Penyakit,2017,1,Profil Kesehatan Indonesia Tahun 2018
Antraks,Bencana Non Alam dan Penyakit,2018,0,Profil Kesehatan Indonesia Tahun 2018
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2003,0,Profil Kesehatan Indonesia Tahun 2008
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2003,0,Profil Kesehatan Indonesia Tahun 2011
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2004,0,Profil Kesehatan Indonesia Tahun 2008
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2004,0,Profil Kesehatan Indonesia Tahun 2011
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2005,13,Profil Kesehatan Indonesia Tahun 2006
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2005,13,Profil Kesehatan Indonesia Tahun 2007
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2005,13,Profil Kesehatan Indonesia Tahun 2008
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2005,13,Profil Kesehatan Indonesia Tahun 2009
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2005,13,Profil Kesehatan Indonesia Tahun 2010
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2005,13,Profil Kesehatan Indonesia Tahun 2011
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2005,13,Profil Kesehatan Indonesia Tahun 2013
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2005,13,Profil Kesehatan Indonesia Tahun 2014
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2005,13,Profil Kesehatan Indonesia Tahun 2015
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2005,13,Profil Kesehatan Indonesia Tahun 2016
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2005,13,Profil Kesehatan Indonesia Tahun 2017
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2005,13,Profil Kesehatan Indonesia Tahun 2018
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2006,45,Profil Kesehatan Indonesia Tahun 2006
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2006,45,Profil Kesehatan Indonesia Tahun 2007
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2006,45,Profil Kesehatan Indonesia Tahun 2008
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2006,45,Profil Kesehatan Indonesia Tahun 2009
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2006,45,Profil Kesehatan Indonesia Tahun 2010
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2006,45,Profil Kesehatan Indonesia Tahun 2011
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2006,45,Profil Kesehatan Indonesia Tahun 2013
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2006,45,Profil Kesehatan Indonesia Tahun 2014
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2006,45,Profil Kesehatan Indonesia Tahun 2015
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2006,45,Profil Kesehatan Indonesia Tahun 2016
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2006,45,Profil Kesehatan Indonesia Tahun 2017
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2006,45,Profil Kesehatan Indonesia Tahun 2018
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2007,37,Profil Kesehatan Indonesia Tahun 2007
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2007,37,Profil Kesehatan Indonesia Tahun 2008
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2007,37,Profil Kesehatan Indonesia Tahun 2009
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2007,37,Profil Kesehatan Indonesia Tahun 2010
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2007,37,Profil Kesehatan Indonesia Tahun 2011
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2007,37,Profil Kesehatan Indonesia Tahun 2013
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2007,37,Profil Kesehatan Indonesia Tahun 2014
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2007,37,Profil Kesehatan Indonesia Tahun 2015
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2007,37,Profil Kesehatan Indonesia Tahun 2016
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2007,37,Profil Kesehatan Indonesia Tahun 2017
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2007,37,Profil Kesehatan Indonesia Tahun 2018
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2008,20,Profil Kesehatan Indonesia Tahun 2008
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2008,20,Profil Kesehatan Indonesia Tahun 2009
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2008,20,Profil Kesehatan Indonesia Tahun 2010
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2008,20,Profil Kesehatan Indonesia Tahun 2011
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2008,20,Profil Kesehatan Indonesia Tahun 2013
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2008,20,Profil Kesehatan Indonesia Tahun 2014
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2008,20,Profil Kesehatan Indonesia Tahun 2015
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2008,20,Profil Kesehatan Indonesia Tahun 2016
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2008,20,Profil Kesehatan Indonesia Tahun 2017
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2008,20,Profil Kesehatan Indonesia Tahun 2018
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2009,19,Profil Kesehatan Indonesia Tahun 2009
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2009,19,Profil Kesehatan Indonesia Tahun 2010
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2009,19,Profil Kesehatan Indonesia Tahun 2011
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2009,19,Profil Kesehatan Indonesia Tahun 2013
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2009,19,Profil Kesehatan Indonesia Tahun 2014
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2009,19,Profil Kesehatan Indonesia Tahun 2015
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2009,7,Profil Kesehatan Indonesia Tahun 2016
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2009,19,Profil Kesehatan Indonesia Tahun 2017
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2009,19,Profil Kesehatan Indonesia Tahun 2018
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2010,7,Profil Kesehatan Indonesia Tahun 2010
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2010,7,Profil Kesehatan Indonesia Tahun 2011
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2010,7,Profil Kesehatan Indonesia Tahun 2013
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2010,7,Profil Kesehatan Indonesia Tahun 2014
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2010,7,Profil Kesehatan Indonesia Tahun 2015
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2010,10,Profil Kesehatan Indonesia Tahun 2016
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2010,7,Profil Kesehatan Indonesia Tahun 2017
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2010,7,Profil Kesehatan Indonesia Tahun 2018
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2011,10,Profil Kesehatan Indonesia Tahun 2011
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2011,10,Profil Kesehatan Indonesia Tahun 2013
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2011,10,Profil Kesehatan Indonesia Tahun 2014
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2011,10,Profil Kesehatan Indonesia Tahun 2015
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2011,9,Profil Kesehatan Indonesia Tahun 2016
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2011,10,Profil Kesehatan Indonesia Tahun 2017
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2011,10,Profil Kesehatan Indonesia Tahun 2018
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2012,9,Profil Kesehatan Indonesia Tahun 2012
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2012,9,Profil Kesehatan Indonesia Tahun 2013
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2012,9,Profil Kesehatan Indonesia Tahun 2014
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2012,9,Profil Kesehatan Indonesia Tahun 2015
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2012,3,Profil Kesehatan Indonesia Tahun 2016
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2012,9,Profil Kesehatan Indonesia Tahun 2017
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2012,9,Profil Kesehatan Indonesia Tahun 2018
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2013,3,Profil Kesehatan Indonesia Tahun 2013
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2013,3,Profil Kesehatan Indonesia Tahun 2014
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2013,3,Profil Kesehatan Indonesia Tahun 2015
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2013,3,Profil Kesehatan Indonesia Tahun 2016
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2013,3,Profil Kesehatan Indonesia Tahun 2017
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2013,3,Profil Kesehatan Indonesia Tahun 2018
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2014,2,Profil Kesehatan Indonesia Tahun 2014
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2014,2,Profil Kesehatan Indonesia Tahun 2015
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2014,2,Profil Kesehatan Indonesia Tahun 2016
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2014,2,Profil Kesehatan Indonesia Tahun 2017
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2014,2,Profil Kesehatan Indonesia Tahun 2018
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2015,2,Profil Kesehatan Indonesia Tahun 2015
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2015,2,Profil Kesehatan Indonesia Tahun 2016
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2015,2,Profil Kesehatan Indonesia Tahun 2017
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2015,2,Profil Kesehatan Indonesia Tahun 2018
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2016,0,Profil Kesehatan Indonesia Tahun 2016
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2016,0,Profil Kesehatan Indonesia Tahun 2017
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2016,0,Profil Kesehatan Indonesia Tahun 2018
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2017,1,Profil Kesehatan Indonesia Tahun 2017
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2017,1,Profil Kesehatan Indonesia Tahun 2018
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2018,0,Profil Kesehatan Indonesia Tahun 2018
Banjir,Bencana Alam,2005,2,Profil Kesehatan Indonesia Tahun 2005
Banjir,Bencana Alam,2006,108,Profil Kesehatan Indonesia Tahun 2006
Banjir,Bencana Alam,2007,140,Profil Kesehatan Indonesia Tahun 2007
Banjir,Bencana Alam,2008,58,Profil Kesehatan Indonesia Tahun 2008
Banjir,Bencana Alam,2009,30,Profil Kesehatan Indonesia Tahun 2009
Banjir,Bencana Alam,2010,33,Profil Kesehatan Indonesia Tahun 2010
Banjir,Bencana Alam,2011,14,Profil Kesehatan Indonesia Tahun 2011
Banjir,Bencana Alam,2012,9,Profil Kesehatan Indonesia Tahun 2012
Banjir,Bencana Alam,2015,35,Profil Kesehatan Indonesia Tahun 2015
Banjir,Bencana Alam,2016,42,Profil Kesehatan Indonesia Tahun 2016
Banjir,Bencana Alam,2017,6,Profil Kesehatan Indonesia Tahun 2017
Banjir,Bencana Alam,2018,26,Profil Kesehatan Indonesia Tahun 2018
Banjir,Bencana Alam,2019,43,Profil Kesehatan Indonesia Tahun 2019
Banjir,Bencana Alam,2020,88,Profil Kesehatan Indonesia Tahun 2020
Banjir,Bencana Alam,2021,124,Profil Kesehatan Indonesia Tahun 2021
Banjir Bandang,Bencana Alam,2005,0,Profil Kesehatan Indonesia Tahun 2005
Banjir Bandang,Bencana Alam,2006,251,Profil Kesehatan Indonesia Tahun 2006
Banjir Bandang,Bencana Alam,2007,0,Profil Kesehatan Indonesia Tahun 2007
Banjir Bandang,Bencana Alam,2008,42,Profil Kesehatan Indonesia Tahun 2008
Banjir Bandang,Bencana Alam,2009,127,Profil Kesehatan Indonesia Tahun 2009
Banjir Bandang,Bencana Alam,2010,215,Profil Kesehatan Indonesia Tahun 2010
Banjir Bandang,Bencana Alam,2011,55,Profil Kesehatan Indonesia Tahun 2011
Banjir Bandang,Bencana Alam,2012,38,Profil Kesehatan Indonesia Tahun 2012
Banjir Bandang,Bencana Alam,2015,20,Profil Kesehatan Indonesia Tahun 2015
Banjir Bandang,Bencana Alam,2016,81,Profil Kesehatan Indonesia Tahun 2016
Banjir Bandang,Bencana Alam,2017,23,Profil Kesehatan Indonesia Tahun 2017
